"theta";"mu";"sigma";"MaxPStrat";"MaxMStrat"
51;0,1;0,06;105,852645760918;106,614984640288
52;0,1;0,06;106,483041927419;106,935697329384
53;0,1;0,06;105,818436718797;107,031264605682
54;0,1;0,06;105,984061446055;106,308892295099
55;0,1;0,06;105,76105466176;106,199850332965
50;0,01;0,07;106,554168086846;108,26579642274
51;0,01;0,07;105,580875143975;110,046772986363
52;0,01;0,07;106,286761995942;108,440706456284
53;0,01;0,07;105,664283374176;108,73622052314
54;0,01;0,07;105,018912522549;109,186812914377
55;0,01;0,07;105,694325400531;108,418599627051
50;0,02;0,07;105,650860130356;107,605066353904
51;0,02;0,07;106,33131249509;108,282075701898
52;0,02;0,07;106,176911139736;108,453220388716
53;0,02;0,07;105,545473015548;108,227042035619
54;0,02;0,07;105,908960542277;108,515158587537
55;0,02;0,07;105,56612402365;107,965834876846
50;0,03;0,07;106,067661136584;109,114020084528
51;0,03;0,07;106,252027162289;107,958622134104
52;0,03;0,07;105,658300495517;107,865357259182
53;0,03;0,07;105,839006888652;108,656605841801
54;0,03;0,07;106,157585717445;108,372946477086
55;0,03;0,07;105,892534606191;107,870557740763
50;0,04;0,07;106,0716820005;108,694696865801
51;0,04;0,07;105,897962115925;107,861443660124
52;0,04;0,07;106,768753926109;108,399161934286
53;0,04;0,07;106,236255446655;107,804122656977
54;0,04;0,07;105,85484356351;108,084701874331
55;0,04;0,07;105,625382416383;109,173040041374
50;0,05;0,07;106,044444754779;108,955171262572
51;0,05;0,07;106,096772566762;107,910681836332
52;0,05;0,07;106,388482508185;108,133072139701
53;0,05;0,07;106,099512068941;108,759805529331
54;0,05;0,07;106,201374535659;109,351881360469
55;0,05;0,07;105,58986834096;108,343068391262
50;0,06;0,07;105,89903241119;107,896756073881
51;0,06;0,07;106,394194841563;108,148457669184
52;0,06;0,07;106,176408074513;108,44938342751
53;0,06;0,07;105,737476651845;108,211717613456
54;0,06;0,07;106,806978821393;107,323651464339
55;0,06;0,07;106,070891675457;109,429672216736
50;0,07;0,07;106,385278210505;107,450241120218
51;0,07;0,07;106,38169331682;107,922237001311
52;0,07;0,07;106,137475976496;107,968843571185
53;0,07;0,07;106,064736230176;107,804750344617
54;0,07;0,07;105,966165471409;108,617108978089
55;0,07;0,07;106,05576162969;109,116512078317
50;0,08;0,07;106,326837248004;108,6089597561
51;0,08;0,07;106,743041569348;108,800058503486
52;0,08;0,07;106,254802961704;107,656106907541
53;0,08;0,07;105,74947808662;108,32434208995
54;0,08;0,07;106,053475696835;108,86013542441
55;0,08;0,07;106,430217965849;109,200861403393
50;0,09;0,07;105,82527838179;107,325299361571
51;0,09;0,07;106,33294259028;107,896305630985
52;0,09;0,07;106,664027314541;108,584681825366
53;0,09;0,07;105,889513084479;108,208395528291
54;0,09;0,07;105,489021906778;108,920681369866
55;0,09;0,07;106,103068664908;108,677984601954
50;0,1;0,07;106,378553019311;107,89152089757
51;0,1;0,07;106,683423676847;108,542985942833
52;0,1;0,07;106,196710495608;107,327308037527
53;0,1;0,07;105,981412634905;107,659156292295
54;0,1;0,07;106,0774108611;107,379250562994
55;0,1;0,07;105,75269774362;108,258180242933
50;0,01;0,08;106,131364875993;110,088582028542
51;0,01;0,08;106,700962199746;110,43494644748
52;0,01;0,08;105,782893266153;109,866916438372
53;0,01;0,08;106,328641618029;111,130848453055
54;0,01;0,08;106,008451394281;110,15778248035
55;0,01;0,08;106,55169898278;109,692734394262
50;0,02;0,08;106,302926696561;109,919776741171
51;0,02;0,08;107,201006775584;109,484359453119
52;0,02;0,08;106,129498853861;110,842043002276
53;0,02;0,08;106,60040151294;110,277175922622
54;0,02;0,08;105,883564121496;110,089711132216
55;0,02;0,08;106,054221901951;109,895582191936
50;0,03;0,08;106,006888797593;109,347207316091
51;0,03;0,08;105,525541681155;108,328877333063
52;0,03;0,08;106,303788029285;109,237660076193
53;0,03;0,08;105,770864805698;109,648762099164
54;0,03;0,08;105,80901699375;109,899752124707
55;0,03;0,08;105,38998155812;110,389911159062
50;0,04;0,08;106,212309216003;110,369985303648
51;0,04;0,08;106,317757992751;109,240249181359
52;0,04;0,08;106,818956237614;110,895278129441
53;0,04;0,08;106,131406393912;110,013994000904
54;0,04;0,08;105,349230037874;111,185626526918
55;0,04;0,08;105,479353714215;109,758960649154
50;0,05;0,08;106,812580994688;109,726395579821
51;0,05;0,08;106,336121023698;110,217784159978
52;0,05;0,08;105,916261539484;111,143832294367
53;0,05;0,08;106,057866967089;109,517238346322
54;0,05;0,08;106,219763449294;109,960372614054
55;0,05;0,08;106,645702963756;110,145278437997
50;0,06;0,08;106,815613671405;109,886951075902
51;0,06;0,08;106,077002864666;110,06071430602
52;0,06;0,08;106,736842414678;110,115828749705
53;0,06;0,08;106,172559955191;109,35070139531
54;0,06;0,08;105,96875211452;109,698878188243
55;0,06;0,08;105,892618720813;109,57180446025
50;0,07;0,08;106,368317867819;109,370678585879
51;0,07;0,08;105,935681845348;109,442864012677
52;0,07;0,08;106,152741329769;110,229071480174
53;0,07;0,08;106,690162435124;108,577378731977
54;0,07;0,08;106,138952156424;110,627449064025
55;0,07;0,08;105,653593886436;110,53689376738
50;0,08;0,08;106,650978538306;110,046855036278
51;0,08;0,08;106,397188219608;110,081181065703
52;0,08;0,08;105,696274826081;108,936567857462
53;0,08;0,08;106,477196472843;108,960236876274
54;0,08;0,08;106,522738009447;111,041308159323
55;0,08;0,08;106,577828478325;111,461217899126
50;0,09;0,08;106,160750341478;109,40050420456
51;0,09;0,08;107,37238074886;110,754137878598
52;0,09;0,08;106,075479606469;109,704674208609
53;0,09;0,08;107,074516035837;110,69763356209
54;0,09;0,08;106,487467758245;110,439489040445
55;0,09;0,08;106,31707407956;109,890069206299
50;0,1;0,08;106,281066419061;110,232530490073
51;0,1;0,08;106,688309011264;109,965939005658
52;0,1;0,08;106,840460881489;109,986272043174
53;0,1;0,08;106,382911734201;110,174226688483
54;0,1;0,08;106,372523430718;109,796592323116
55;0,1;0,08;107,229600617339;110,430115156918
50;0,01;0,09;106,805844781393;111,773858474079
51;0,01;0,09;106,595176022464;112,826721574849
52;0,01;0,09;106,266065184698;111,006927227314
53;0,01;0,09;106,392828122205;111,183923579405
54;0,01;0,09;106,103986941356;113,561568015175
55;0,01;0,09;106,575847728607;111,430093682887
50;0,02;0,09;106,5057529849;112,028015086255
51;0,02;0,09;106,542803826137;113,055324545913
52;0,02;0,09;106,946001476716;111,620111569277
53;0,02;0,09;106,418260990947;112,642133704666
54;0,02;0,09;106,344769823599;112,534965191113
55;0,02;0,09;106,695139982366;111,606700664165
50;0,03;0,09;106,419020671878;112,000401259186
51;0,03;0,09;106,424472198866;110,677480247377
52;0,03;0,09;106,574759453679;112,767137193491
53;0,03;0,09;106,17644222904;112,936582216941
54;0,03;0,09;106,920056025678;113,218846206302
55;0,03;0,09;106,382385698274;112,477985705233
50;0,04;0,09;106,820747245754;111,422320783495
51;0,04;0,09;106,389543422236;111,128716079793
52;0,04;0,09;106,415945105812;111,47986691885
53;0,04;0,09;105,966346281185;111,659688289067
54;0,04;0,09;106,042285630547;110,182447977075
55;0,04;0,09;105,832514517918;111,820601946042
50;0,05;0,09;106,471661599489;111,694497949356
51;0,05;0,09;106,515358057499;111,448437411299
52;0,05;0,09;106,799960606525;111,756029825644
53;0,05;0,09;106,680588086108;111,525707838078
54;0,05;0,09;106,487454340443;112,963255651767
55;0,05;0,09;106,590569984417;112,281811775716
50;0,06;0,09;106,871039987025;113,427415905385
51;0,06;0,09;106,476658951718;113,656036408933
52;0,06;0,09;106,656142697439;114,108390139452
53;0,06;0,09;106,519320852827;112,21626383288
54;0,06;0,09;106,690872403984;112,053267475004
55;0,06;0,09;106,544293861597;114,116442999232
50;0,07;0,09;106,995640552994;113,133073274229
51;0,07;0,09;107,144110354139;111,515723803342
52;0,07;0,09;106,93760960505;112,357188251959
53;0,07;0,09;106,252553614441;109,494175321367
54;0,07;0,09;106,521070770518;111,412661289253
55;0,07;0,09;106,322181775624;111,597058077502
50;0,08;0,09;107,149729315139;111,208164946335
51;0,08;0,09;106,866891849218;111,14675349348
52;0,08;0,09;107,081622325772;112,094630637302
53;0,08;0,09;106,452797768798;110,019683681071
54;0,08;0,09;107,175330133982;110,595914335663
55;0,08;0,09;106,27806200705;110,691183271384
50;0,09;0,09;106,450549706534;110,919442036469
51;0,09;0,09;106,818673854906;110,54330259443
52;0,09;0,09;106,890884256614;112,277869884173
53;0,09;0,09;106,117388525446;112,57214177824
54;0,09;0,09;106,400329817913;112,855169804537
55;0,09;0,09;106,490847653278;112,383136115847
50;0,1;0,09;106,867945872004;112,270650752485
51;0,1;0,09;107,448816559686;109,867762392573
52;0,1;0,09;107,457459445402;111,19950396322
53;0,1;0,09;106,100431624203;111,836504198681
54;0,1;0,09;107,008233804386;112,034258560925
55;0,1;0,09;106,495196100879;112,682264426689
50;0,01;0,1;106,903075039272;116,076545494884
51;0,01;0,1;107,305604859199;115,637953804214
52;0,01;0,1;106,668122051673;113,621977073668
53;0,01;0,1;106,455141342214;113,445530854648
54;0,01;0,1;106,366507443965;113,070072312646
55;0,01;0,1;106,809266510121;112,857527789951
50;0,02;0,1;106,640190327825;113,819040652765
51;0,02;0,1;106,968021486632;114,822547827085
52;0,02;0,1;106,94793245491;113,471216847295
53;0,02;0,1;106,340969402484;112,53938629225
54;0,02;0,1;106,420765788653;116,282987960076
55;0,02;0,1;106,854263028014;112,255599739578
50;0,03;0,1;106,744811927379;114,218930517848
51;0,03;0,1;106,610033727162;114,688890865659
52;0,03;0,1;106,597697382646;114,722762531067
53;0,03;0,1;106,825106040541;112,701261472969
54;0,03;0,1;106,596715741413;112,966641528301
55;0,03;0,1;106,490636376526;111,444041047716
50;0,04;0,1;107,182136964499;112,836750772916
51;0,04;0,1;106,597324416481;114,179689355598
52;0,04;0,1;106,769628920807;113,394095341815
53;0,04;0,1;106,732761294699;114,224665075255
54;0,04;0,1;106,341806311878;113,878586213482
55;0,04;0,1;105,779949295329;112,941136189557
50;0,05;0,1;106,750792648922;114,365353798541
51;0,05;0,1;106,636318166176;113,955510987372
52;0,05;0,1;106,195173918256;113,680429009619
53;0,05;0,1;106,054818360864;113,833553103177
54;0,05;0,1;107,025728754949;111,158865192893
55;0,05;0,1;106,953193527238;113,46669041867
50;0,06;0,1;107,061580340959;112,780388555317
51;0,06;0,1;107,135552256534;111,936060276544
52;0,06;0,1;107,019836982816;114,965150462642
53;0,06;0,1;107,056242658681;113,238762649141
54;0,06;0,1;106,98753484111;114,827013134523
55;0,06;0,1;107,704255012742;112,863277981116
50;0,07;0,1;106,623438890728;113,497953595521
51;0,07;0,1;106,491747050589;113,152180183356
